address;phone
220030, г. Минск, ул. Кирова 33;+375 (17) 363 61 84
220050, г. Минск, пр-т. Независимости 10;+375 (17) 367 77 24
220029, г. Минск, ул. Коммунистическая 3;+375 (17) 242 36 08
220048, г. Минск, ул. Романовская Слобода 24;+375 (17) 375 27 42
220088, г. Минск, ул. Пулихова 19;+375 (17) 377 59 21
220002, г. Минск, ул. Сторожевская 8;+375 (17) 375 60 98
220034, г. Минск, ул. Козлова 6;+375 (17) 379 34 27
220011, г. Минск, пл. Привокзальная 5;+375 (17) 362 09 23
220060, г. Минск, ул. Вокзальная 22;+375 (17) 377 93 51
220005, г. Минск, пр-т. Независимости 46;+375 (17) 224 33 98
220123, г. Минск, ул. Максима Богдановича 53;+375 (17) 351 89 86
220071, г. Минск, ул. Смолячкова 21;+375 (17) 322 72 27
220006, г. Минск, ул. Маяковского 8;+375 (17) 358 42 69
220004, г. Минск, ул. Максима Танка 36/2;+375 (17) 378 54 36
220001, г. Минск, ул. Московская 16;+375 (17) 354 76 15
220007, г. Минск, ул. Жуковского 6/2;+375 (17) 375 97 54
220038, г. Минск, ул. Долгобродская 4;+375 (17) 353 35 41
220097, г. Минск, ул. Куйбышева 75;+375 (17) 365 04 19
220035, г. Минск, ул. Тарханова 11;+375 (17) 370 40 20
220036, г. Минск, ул. Коржа 11;+375 (17) 379 68 43
220033, г. Минск, ул. Рыбалко 2;+375 (17) 394 15 34
220068, г. Минск, б-р. Шевченко 17;+375 (17) 363 04 52
220100, г. Минск, ул. Максима Богдановича 78;+375 (17) 324 96 52
220053, г. Минск, тр. Старовиленский 28/1;+375 (17) 378 87 13
220072, г. Минск, ул. Академическая 1;+375 (17) 294 91 85
